id;house_no;city;tahsil;district;state;pincode;created_at;modified_at;enable
b6bbfee3-fac1-4fd2-994d-c6d6e0d1a4af;Dakota Customer;Thalialand;Mandatory web-readiness;didactic Chips purple;bypass microchip;Table invoice;2023-09-25;2023-09-26;false
af828d9a-5d14-4bf7-82d2-348ec57c39ea;Toys contextually-based Sausages;Port Ephraim;Soap Account;Shoes;HTTP grow USB;Dinar;2023-09-26;2023-09-25;true
64bdb3e5-cdb1-49df-acfc-9314ad9cf688;Awesome Industrial;Lake Noemi;Account microchip;Account Tasty;Identity;Architect;2023-09-26;2023-09-26;false
a29efa9e-3db4-430b-8242-d6355f5d9321;invoice COM Plastic;Elmhurst;Unbranded Branding task-force;Gold;back Computers CSS;Extended copying optimize;2023-09-26;2023-09-25;true
1f5e02ca-3a40-4806-a0bc-6908b7189322;Euro Chicken;West Nola;SDD;Mouse grow;Frozen Specialist Granite;Jewelery;2023-09-26;2023-09-25;false
c090a0fb-dc84-4ce1-91d1-7a8bcb6b5c40;white bypassing;Myleneville;Toys blue;Landing Tunnel District;Kwacha;Bulgaria withdrawal;2023-09-26;2023-09-25;false
fb9c1b3a-9eac-4c18-9eb3-a18c7c20781a;scale Designer;North Claudie;Garden;compelling;Stand-alone Frozen leverage;platforms Auto bypassing;2023-09-26;2023-09-25;false
85367d4e-5dbc-4462-a69c-493f7bceea92;Barbados;Arecibo;index;calculate sensor Licensed;ivory payment;customized bluetooth;2023-09-26;2023-09-26;false
8170104d-091b-40be-94dc-9a8902cf3b85;Implementation;Hemet;Electronics models;Bahraini Gorgeous;compress;explicit Handcrafted innovative;2023-09-26;2023-09-26;true
7718c238-bf30-4b40-ac04-d0923c64619a;Towels Music;Connellyburgh;bleeding-edge empowering;Practical Kentucky Alaska;International Club;Clothing Licensed;2023-09-26;2023-09-25;true
